Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,grand_prix
ALB,97.198375,80.179,16,79.583,14,Monza
ALO,96.18847058823529,80.645,17,79.362,8,Monza
ANT,114.0515,81.367,2,79.2,6,Monza
BEA,92.48075,80.607,20,79.446,11,Monza
BOR,86.8803,80.475,10,79.323,7,Monza
COL,88.5941,81.564,20,79.992,18,Monza
GAS,91.9274090909091,81.102,22,80.103,19,Monza
HAD,87.38638461538463,80.383,13,79.917,16,Monza
HAM,93.6466875,80.07,16,79.124,10,Monza
HUL,88.83099999999999,80.241,15,79.498,12,Monza
LAW,86.989,80.811,14,80.279,20,Monza
LEC,92.19147368421052,79.961,19,79.007,4,Monza
NOR,89.93688888888889,79.878,18,78.869,2,Monza
OCO,89.97911764705883,80.654,17,79.707,15,Monza
PIA,93.31057894736843,80.059,19,78.982,3,Monza
RUS,92.94072222222222,80.276,18,79.157,5,Monza
SAI,92.57111111111111,79.974,18,79.528,13,Monza
STR,101.65650000000001,80.528,20,79.948,17,Monza
TSU,91.9785,80.269,16,79.433,9,Monza
VER,95.07023529411765,80.077,17,78.792,1,Monza